Time data (V), Frequency (Hz), Spectrum (dBFS)
-0.056036,2664.000,-119.606820
-0.001140,2668.000,-124.915509
-0.056297,2672.000,-143.229438
-0.001170,2676.000,-118.679506
-0.056309,2680.000,-112.644642
-0.001116,2684.000,-106.420358
-0.056097,2688.000,-112.880343
-0.001122,2692.000,-112.379191
-0.056064,2696.000,-118.373238
-0.000914,2700.000,-112.443081
-0.055952,2704.000,-115.975734
-0.000119,2708.000,-114.488661
-0.056200,2712.000,-117.992681
0.000666,2716.000,-119.549700
-0.056195,2720.000,-115.218899
0.001141,2724.000,-118.806441
-0.056344,2728.000,-113.939979
0.001262,2732.000,-115.257799
-0.056284,2736.000,-116.273706
0.001331,2740.000,-108.775476
-0.056365,2744.000,-105.340022
0.001258,2748.000,-108.783566
-0.056105,2752.000,-110.135309
0.001198,2756.000,-112.910909
-0.055993,2760.000,-114.983322
0.000959,2764.000,-113.944495
-0.055955,2768.000,-114.064598
0.000766,2772.000,-111.637625
-0.055845,2776.000,-108.554953
0.000623,2780.000,-111.494906
-0.055807,2784.000,-126.223573
0.000380,2788.000,-112.998418
-0.055668,2792.000,-113.599703
-0.000122,2796.000,-120.014520
-0.055766,2800.000,-126.361912
-0.000722,2804.000,-110.477825
-0.055811,2808.000,-109.133661
-0.000956,2812.000,-115.257536
-0.055591,2816.000,-114.715346
-0.001037,2820.000,-116.476879
-0.055676,2824.000,-117.853559
-0.001114,2828.000,-116.188131
-0.055903,2832.000,-121.514679
-0.001251,2836.000,-113.681664
-0.055993,2840.000,-111.938179
-0.001197,2844.000,-108.626494
-0.056002,2848.000,-113.926838
-0.001129,2852.000,-118.345911
-0.056006,2856.000,-114.954352
-0.001126,2860.000,-124.910083
-0.055949,2864.000,-112.777660
-0.001054,2868.000,-125.287134
-0.055809,2872.000,-113.551515
-0.000700,2876.000,-113.286038
-0.055904,2880.000,-109.855539
0.000103,2884.000,-114.640768
-0.056056,2888.000,-115.250563
0.000919,2892.000,-111.824567
-0.055934,2896.000,-115.874182
0.001320,2900.000,-122.531726
-0.055934,2904.000,-117.333217
0.001350,2908.000,-111.149940
-0.055799,2912.000,-117.454537
0.001289,2916.000,-115.300801
-0.055678,2920.000,-108.930346
0.001150,2924.000,-106.639373
-0.055865,2928.000,-109.691942
0.001028,2932.000,-121.343459
-0.055747,2936.000,-130.924751
0.000903,2940.000,-121.037846
-0.055749,2944.000,-114.517143
0.000721,2948.000,-114.179132
-0.055741,2952.000,-117.775154
0.000607,2956.000,-119.542318
-0.055806,2960.000,-127.534331
0.000341,2964.000,-117.691154
-0.056034,2968.000,-114.900137
-0.000139,2972.000,-121.786260
-0.056065,2976.000,-123.730133
-0.000737,2980.000,-130.870990
-0.055989,2984.000,-119.834795
-0.000955,2988.000,-126.510971
-0.055999,2992.000,-120.868966
-0.000988,2996.000,-126.456895
-0.055926,3000.000,-122.213271
-0.000998,3004.000,-119.650696
-0.055739,3008.000,-114.633137
-0.001068,3012.000,-110.565252
-0.055744,3016.000,-109.692022
-0.001155,3020.000,-111.227158
